r1b1k2r/2qnbppp/p2ppn2/1p4B1/3NPPP1/P1N5/1PP1Q2P/2KR1B1R b kq - 0 11
r1b1k2r/2qnbpp1/p2ppn1p/1p4B1/3NPPP1/P1N5/1PP1Q2P/2KR1B1R w kq - 0 12
r1b1k2r/2qnbpp1/p2ppn1p/1p6/3NPPPB/P1N5/1PP1Q2P/2KR1B1R b kq - 1 12
r3k2r/1bqnbpp1/p2ppn1p/1p6/3NPPPB/P1N5/1PP1Q2P/2KR1B1R w kq - 2 13
r3k2r/1bqnbpp1/p2ppn1p/1p6/3NPPPB/P1N5/1PP1Q1BP/2KR3R b kq - 3 13
2r1k2r/1bqnbpp1/p2ppn1p/1p6/3NPPPB/P1N5/1PP1Q1BP/2KR3R w k - 4 14
2r1k2r/1bqnbpp1/p2ppn1p/1p6/3NPPPB/P1N5/1PP1Q1BP/2KRR3 b k - 5 14
2r1k2r/1bq1bpp1/pn1ppn1p/1p6/3NPPPB/P1N5/1PP1Q1BP/2KRR3 w k - 6 15
2r1k2r/1bq1bpp1/pn1ppn1p/1p6/3NPPP1/P1N5/1PP1QBBP/2KRR3 b k - 7 15
2r1k2r/1bq1bpp1/p2ppn1p/1p6/2nNPPP1/P1N5/1PP1QBBP/2KRR3 w k - 8 16
2r1k2r/1bq1bpp1/p2ppn1p/1p6/2nNPPP1/P1NR4/1PP1QBBP/2K1R3 b k - 9 16
2r1k2r/1bq1bp2/p2ppn1p/1p4p1/2nNPPP1/P1NR4/1PP1QBBP/2K1R3 w k - 0 17
2r1k2r/1bq1bp2/p2ppn1p/1p4p1/2nNPPP1/PPNR4/2P1QBBP/2K1R3 b k - 0 17
2r1k2r/1bq1bp2/p2ppn1p/1p4p1/3NPPP1/nPNR4/2P1QBBP/2K1R3 w k - 0 18
2r1k2r/1bq1bp2/p2ppn1p/1p2P1p1/3N1PP1/nPNR4/2P1QBBP/2K1R3 b k - 0 18
2r1k2r/1bq1bp2/p3pn1p/1p2p1p1/3N1PP1/nPNR4/2P1QBBP/2K1R3 w k - 0 19
2r1k2r/1Bq1bp2/p3pn1p/1p2p1p1/3N1PP1/nPNR4/2P1QB1P/2K1R3 b k - 0 19
2r1k2r/1q2bp2/p3pn1p/1p2p1p1/3N1PP1/nPNR4/2P1QB1P/2K1R3 w k - 0 20
2r1k2r/1q2bp2/p3pn1p/1p2Q1p1/3N1PP1/nPNR4/2P2B1P/2K1R3 b k - 0 20
2r2rk1/1q2bp2/p3pn1p/1p2Q1p1/3N1PP1/nPNR4/2P2B1P/2K1R3 w - - 1 21
2r2rk1/1q2bp2/p3Nn1p/1p2Q1p1/5PP1/nPNR4/2P2B1P/2K1R3 b - - 0 21
2r2rk1/1q2b3/p3pn1p/1p2Q1p1/5PP1/nPNR4/2P2B1P/2K1R3 w - - 0 22
2r2rk1/1q2b3/p3pn1p/1p2Q1P1/6P1/nPNR4/2P2B1P/2K1R3 b - - 0 22
2r2rk1/1q2b3/p3pn2/1p2Q1p1/6P1/nPNR4/2P2B1P/2K1R3 w - - 0 23
2r2rk1/1q2b3/p3pn2/1p2Q1p1/3B2P1/nPNR4/2P4P/2K1R3 b - - 1 23
2r3k1/1q2br2/p3pn2/1p2Q1p1/3B2P1/nPNR4/2P4P/2K1R3 w - - 2 24
2r3k1/1q2br2/p3pn2/1p4Q1/3B2P1/nPNR4/2P4P/2K1R3 b - - 0 24
2r3k1/1q2b1r1/p3pn2/1p4Q1/3B2P1/nPNR4/2P4P/2K1R3 w - - 1 25
2r3k1/1q2b1r1/p3pn1Q/1p6/3B2P1/nPNR4/2P4P/2K1R3 b - - 2 25
2r3k1/1q2b2r/p3pn1Q/1p6/3B2P1/nPNR4/2P4P/2K1R3 w - - 3 26
2r3k1/1q2b2r/p3pnQ1/1p6/3B2P1/nPNR4/2P4P/2K1R3 b - - 4 26
2r3k1/1q2b1r1/p3pnQ1/1p6/3B2P1/nPNR4/2P4P/2K1R3 w - - 5 27
2r3k1/1q2b1r1/p3pn1Q/1p6/3B2P1/nPNR4/2P4P/2K1R3 b - - 6 27
2r3k1/4b1r1/p3pn1Q/1p6/3B2P1/nPNR4/2P3qP/2K1R3 w - - 7 28
2r3k1/4b1r1/p3pn1Q/1p6/3B2P1/nPN5/2PR2qP/2K1R3 b - - 8 28
2r3k1/4b1r1/p3pn1Q/1p6/3B2P1/nPN2q2/2PR3P/2K1R3 w - - 9 29
2r3k1/4b1r1/p3pn1Q/1p6/3B2P1/nPN2q2/1KPR3P/4R3 b - - 10 29
